DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,ewma_vol,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2013-09-12,-0.0022230464879466894,1685.0,1688.75,7.03844327372062,7.03844327372062,0.0,0.0064060305554543145,0.0064060305554543145,4.103722747741431e-05,-0.010260174722014369,-0.014044088055668669,1671.5117150701344,1665.1988108776402,0
2013-09-13,0.0020749970391600314,1688.5,1685.0,6.914823197891756,6.914823197891756,0.0,0.0062316394786220445,0.0062316394786220445,3.8833330591520826e-05,-0.009972035366848236,-0.01367566108937879,1668.2806220706298,1662.1133627061488,0
2013-09-16,0.005610527045670111,1698.0,1688.5,6.460440671122363,6.460440671122363,0.0,0.006196128757526051,0.006196128757526051,3.839201157984132e-05,-0.009878149683244285,-0.013652241256085893,1671.902853766502,1665.604831427638,0
2013-09-17,0.0001472212001187856,1698.25,1698.0,6.437186513938903,6.437186513938903,0.0,0.006007477950850649,0.006007477950850649,3.6089791329956714e-05,-0.009575330015646836,-0.013239442772104221,1681.8186839883115,1675.6675867331298,0
2013-09-18,0.011416985839773908,1717.75,1698.25,6.335684425496558,6.335684425496558,0.0,0.0064610570180192025,0.0064610570180192025,4.1745257790095187e-05,-0.010288286403186653,-0.014252708887988625,1680.8674890675052,1674.2170115614174,0
2013-09-19,-0.00014554981468073436,1717.5,1717.75,6.388983892313671,6.388983892313671,0.0,0.006264328647796401,0.006264328647796401,3.9241813407602686e-05,-0.00998018156111225,-0.01381174454394718,1700.6918066452818,1694.187966766628,0
2013-09-20,-0.008771986072837024,1702.5,1717.5,5.235436531849972,6.0,0.0,0.006442372931061141,0.006442372931061141,4.1504168982869324e-05,-0.010221469247827504,-0.014258960490130127,1700.0340425082743,1693.1840077331283,0
2013-09-23,-0.005743333657912686,1692.75,1702.5,5.438809362232343,6.0,0.0,0.006402583207914125,0.006402583207914125,4.099307173426393e-05,-0.010158338870887372,-0.014170893547042889,1685.292973444157,1678.5441922246391,0
2013-09-24,-0.0001476995793243674,1692.5,1692.75,5.620178719922828,6.0,0.0,0.006207640158719901,0.006207640158719901,3.8534796340152045e-05,-0.009849042218281407,-0.013739424387149334,1676.1598663567197,1669.6516318687231,0
2013-09-25,-0.0039961571717386235,1685.75,1692.5,5.7375296260638,6.0,0.0,0.006097611408430124,0.006097611408430124,3.7180864888217204e-05,-0.009674470597001699,-0.013495896789484802,1676.20490880016,1669.811638942381,0
2013-09-26,0.0039961571717386235,1692.5,1685.75,5.566779311350089,6.0,0.0,0.005992342557247412,0.005992342557247412,3.590816932339845e-05,-0.00950745103190785,-0.013262904318245103,1669.7987623829094,1663.5396713514074,0
2013-09-27,-0.0035513502847255296,1686.5,1692.5,5.491919065324882,6.0,0.0,0.0058745556848738565,0.0058745556848738565,3.4510404494683747e-05,-0.009320570373702028,-0.013002205600955247,1676.7982230725147,1670.6362137609442,0
2013-09-30,-0.007290071711545387,1674.25,1686.5,5.322041871962091,6.0,0.0,0.005968960458787709,0.005968960458787709,3.5628488958571174e-05,-0.009470352993201767,-0.013211152514727835,1670.6036405532632,1664.3659215561422,0
2013-10-01,0.009067323364185143,1689.5,1674.25,5.39566843106281,6.0,0.0,0.0061986902487944,0.0061986902487944,3.842376080049878e-05,-0.009834842290699869,-0.013719615473045236,1657.864720684542,1651.436785895922,0
2013-10-02,-0.003854711963538371,1683.0,1689.5,5.578201450648381,6.0,0.0,0.006083573243726059,0.006083573243726059,3.700986341177961e-05,-0.009652197644107787,-0.013464825996469374,1673.2710605430007,1666.903645862391,0
2013-10-03,-0.0079040005850608,1669.75,1683.0,5.693704980218068,6.0,0.0,0.0062078712230515315,0.0062078712230515315,3.853766512199132e-05,-0.00984940882496272,-0.013739935803860326,1666.5048122224266,1660.0338262249902,0
2013-10-04,0.00894327022058139,1684.75,1669.75,5.87144545012523,6.0,0.0,0.006405023821108873,0.006405023821108873,4.1024330148972104e-05,-0.0101622111479168,-0.014176295377624258,1652.8675746093627,1646.2461233667145,0
2013-10-07,-0.010141772236702096,1667.75,1684.75,5.827368822848976,6.0,0.0,0.006688363251655989,0.006688363251655989,4.473420298610227e-05,-0.010611757504053819,-0.014803413023358225,1666.9663662329606,1659.9936413031282,0
