DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,sma_vol_10_predict,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2020-12-07,-0.0019624435328715606,3690.75,3698.0,6.330381624894333,6.330381624894333,0.0,0.006675086678483429,0.006675086678483429,4.455678216526694e-05,-0.01062854230664032,-0.0147255922792418,3658.9037864740462,3643.9437417676754,0
2020-12-08,0.003043524719245738,3702.0,3690.75,6.253970490848942,6.253970490848942,0.0,0.00600378646364745,0.00600378646364745,3.604545190107635e-05,-0.009552302871050324,-0.013254441391906246,3655.662687296713,3642.153938701135,0
2020-12-09,-0.00800058508541035,3672.5,3702.0,6.232261290484621,6.232261290484621,0.0,0.005954882365362731,0.005954882365362731,3.546062398530804e-05,-0.009472369586432336,-0.013149263305881393,3667.0988470615634,3653.6400727466207,0
2020-12-10,-0.001089769893983572,3668.5,3672.5,6.29751590843211,6.29751590843211,0.0,0.0052799343919358675,0.0052799343919358675,2.787770718314718e-05,-0.008404334912312794,-0.01165149020738414,3641.7644170127,3629.9582210521853,0
2020-12-11,-0.0019782400121055588,3661.25,3668.5,6.238208058328056,6.238208058328056,0.0,0.005260466046207655,0.005260466046207655,2.76725030233036e-05,-0.00836828501767795,-0.011615213526275082,3637.9290380762,3626.1360983469513,0
2020-12-14,-0.004036815717656239,3646.5,3661.25,6.183925582820396,6.183925582820396,0.0,0.005313550755411721,0.005313550755411721,2.8233821630336473e-05,-0.008447909782600991,-0.011738690677091202,3630.4503697307227,3618.522988977672,0
2020-12-15,0.01104531580985757,3687.0,3646.5,6.191806286277457,6.191806286277457,0.0,0.005346205096119735,0.005346205096119735,2.8581908929776628e-05,-0.00850053933398699,-0.01180991038366975,3615.634157334897,3603.688459603863,0
2020-12-16,0.001829082920263403,3693.75,3687.0,6.214340150824116,6.214340150824116,0.0,0.005496247125507719,0.005496247125507719,3.020873246465186e-05,-0.008741187400198297,-0.012138661927128274,3654.911691332829,3642.5152921127633,0
2020-12-17,0.005130639756645294,3712.75,3693.75,6.139092109406061,6.139092109406061,0.0,0.005495978735271077,0.005495978735271077,3.0205782258551866e-05,-0.008733718695073679,-0.012147126143591994,3661.630292981143,3649.152964083867,0
2020-12-18,-0.0017522581650180058,3706.25,3712.75,6.145262972067622,6.145262972067622,0.0,0.005620423845161475,0.005620423845161475,3.15891641992597e-05,-0.008932077329065478,-0.012421406966476407,3679.735095237007,3666.917661641637,0
2020-12-21,-0.005546551016106349,3685.75,3706.25,6.096718042777871,6.096718042777871,0.0,0.005027547329589166,0.005027547329589166,2.5276232151259154e-05,-0.007985585194072005,-0.011116537483327084,3676.771283927365,3665.277491106695,0
2020-12-22,-0.0023088425304766957,3677.25,3685.75,6.125437289983462,6.125437289983462,0.0,0.005291390968912938,0.005291390968912938,2.7998818385893397e-05,-0.008407346114938527,-0.01169654859461615,3654.8925205710216,3642.890588242785,0
2020-12-23,0.0011550876093178175,3681.5,3677.25,6.103890582986397,6.103890582986397,0.0,0.005212867895577954,0.005212867895577954,2.717399169674733e-05,-0.008280605497908678,-0.01152547069028252,3646.925867793722,3635.111263751336,0
2020-12-24,0.003660276573532073,3695.0,3681.5,6.0835219821378566,6.0835219821378566,0.0,0.004614817902237174,0.004614817902237174,2.129654427080871e-05,-0.007328933256838032,-0.010205302274916367,3654.617163801374,3644.120239968916,0
2020-12-28,0.00875721325659029,3727.5,3695.0,6.091860551109839,6.091860551109839,0.0,0.00469674233556317,0.00469674233556317,2.2059388566671386e-05,-0.0074597396564736245,-0.010385595658144833,3667.5388159570352,3656.8238084294826,0
2020-12-29,-0.0020140993717010502,3720.0,3727.5,6.1554371708208615,6.1554371708208615,0.0,0.005161299606699249,0.005161299606699249,2.6639013630113826e-05,-0.008203335760244911,-0.011405563083248879,3697.047144230225,3685.2272938747346,0
2020-12-30,0.0011418209925100342,3724.25,3720.0,6.104915925823063,6.104915925823063,0.0,0.004964745499826197,0.004964745499826197,2.464869787804448e-05,-0.007886554868378429,-0.010976767240137224,3690.7774001729326,3679.389718429153,0
2020-12-31,0.006556961803516614,3748.75,3724.25,6.0670061172970415,6.0670061172970415,0.0,0.003943480346973306,0.003943480346973306,1.5551037246964706e-05,-0.00626159003054259,-0.008722153757460853,3701.0031304662807,3691.9077708551076,0
2021-01-04,-0.015186422756798379,3692.25,3748.75,6.098938651878345,6.098938651878345,0.0,0.004282732944810555,0.004282732944810555,1.834180147656569e-05,-0.006802716328987521,-0.009469447289604431,3723.3348611628758,3713.4189562136085,1
2021-01-05,0.007017099166287011,3718.25,3692.25,6.10241831071429,6.10241831071429,0.0,0.006375750402052952,0.006375750402052952,4.065019318927838e-05,-0.010127670220621537,-0.014096772896263376,3655.044828491423,3640.5663326090166,0
2021-01-06,0.005966164839751542,3740.5,3718.25,6.098774735776948,6.098774735776948,0.0,0.006743084609584686,0.006743084609584686,4.5469190052017866e-05,-0.010710732682597668,-0.014909496039575391,3678.637337219529,3663.2239907059484,0
