DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2024-06-18,0.002431119511820512,5559.75,5546.25,32.268046673148376,10.0,0.0,0.00229927034617167,0.00229927034617167,5.2866441247843905e-06,-0.003727380522596945,-0.004952948794874426,5525.615495990935,5518.847625045316,0
2024-06-20,-0.0027466978116681418,5544.5,5559.75,31.18604113754466,10.0,0.0,0.007697053941487029,0.007697053941487029,5.9244639378161e-05,-0.012477805835510364,-0.016580526995030122,5490.807538829231,5468.326434941219,0
2024-06-21,-0.0018503897866857244,5534.25,5544.5,30.14370839555049,10.0,0.0,0.0040067852243762065,0.0040067852243762065,1.6054327834279488e-05,-0.006495457669184426,-0.008631173833663262,5508.602646036687,5496.850388532131,0
2024-06-24,-0.0031218213341546175,5517.0,5534.25,27.63801154926549,10.0,0.0,0.005768304683819796,0.005768304683819796,3.32733389253774e-05,-0.00935108242607211,-0.012425732267527205,5482.739984630791,5465.908367929882,0
2024-06-25,0.003618603550537003,5537.0,5517.0,28.365597232552236,10.0,0.0,0.0025301586076388414,0.0025301586076388414,6.401702579808921e-06,-0.004101676833651422,-0.005450314290971289,5494.41739384534,5487.012411182706,0
2024-06-26,0.001173232389438894,5543.5,5537.0,25.133361713180538,10.0,0.0,0.004605965785404434,0.004605965785404434,2.1214920816316287e-05,-0.007466797971299807,-0.009921892275101974,5495.810308555978,5482.334125391886,0
2024-06-27,0.0004508769633169152,5546.0,5543.5,23.82805375590156,10.0,0.0,0.00484897017113488,0.00484897017113488,2.3512511720555826e-05,-0.007860735907213008,-0.010445357591591098,5500.094832283022,5485.897523153371,0
2024-06-28,-0.004427384688538538,5521.5,5546.0,19.90132169748167,10.0,0.0,0.009418501930102784,0.009418501930102784,8.870817860734986e-05,-0.015268470149567056,-0.02028876589562299,5461.964245824091,5434.612284869059,0
2024-07-01,0.002216142559165135,5533.75,5521.5,20.95345228597786,10.0,0.0,0.005492019996880385,0.005492019996880385,3.016228364613403e-05,-0.00890319331094286,-0.011830576543670172,5472.559206089575,5456.56235391183,0
2024-07-02,0.006304907172768992,5568.75,5533.75,20.38900131145637,10.0,0.0,0.008222657318858151,0.008222657318858151,6.761209338337151e-05,-0.013329869097530107,-0.01771274992778214,5460.475292991817,5436.595050861393,0
2024-07-03,0.003853396649136087,5590.25,5568.75,18.704831288680108,10.0,0.0,0.0030942389446054664,0.0030942389446054664,9.57431464631315e-06,-0.005016115653205674,-0.0066654219575591,5540.886447780277,5531.755360879716,0
2024-07-05,0.00557452332155961,5621.5,5590.25,19.415287865940023,10.0,0.0,0.0034623589521795384,0.0034623589521795384,1.198792951373779e-05,-0.005612880339226372,-0.007458403761947157,5558.960489967942,5548.710759146059,0
2024-07-08,0.0006668593396259581,5625.25,5621.5,20.662606821185086,10.0,0.0,0.003230607007174051,0.003230607007174051,1.043682163480208e-05,-0.00523718389825513,-0.006959177771129708,5592.136129826213,5582.514791994252,0
2024-07-09,0.0010660508272071212,5631.25,5625.25,18.41850833544682,10.0,0.0,0.002906680490859994,0.002906680490859994,8.448791475946097e-06,-0.004712061922202145,-0.006261394906545331,5598.805825894543,5590.138127664787,0
