DATE,ES1_CLOSE,ES1_LN_RET,gk_VaR_ret_95,garch_VaR_ret_95,lstm_VaR_ret_95,gk_VaR_price_95,garch_VaR_price_95,lstm_VaR_price_95,sigma_implied,gk_vol_daily,garch_vol,viol_gk_ret,viol_garch_ret,viol_lstm_ret
2011-05-25,1316.5,0.0022813699,-0.0188244253359452,-0.01343005766982078,-0.010260498872914874,1289.005389127511,1295.9775464029558,1300.0917400808312,0.006466972467006111,0.0118646317165069,0.0084646774252178,0,0,0
2011-05-26,1326.5,0.0075671948,-0.0103369580690001,-0.012955070526702552,-0.012743531123893322,1302.9614887656287,1299.5546507485296,1299.8295868421503,0.008031974461612251,0.0065151630591066,0.0081653032120559,0,0,0
2011-05-27,1330.0,0.0026350475,-0.0073627563334502,-0.012908872362582546,-0.011616242423421021,1316.7691705459038,1309.4864300720303,1311.1802059133054,0.007321468561400556,0.0046405874684503,0.0081361854996434,0,0,0
2011-05-31,1344.0,0.0104713,-0.0102544640653336,-0.012524385365132316,-0.010049520840445499,1316.431251813957,1313.4464453951884,1316.7010731281282,0.006333997536252577,0.0064631688571665,0.0078938515880832,0,0,0
2011-06-01,1312.0,-0.02409755,-0.0189119722713919,-0.013384425510503808,-0.00997029171429057,1318.8211505751126,1326.131180808727,1330.6665077924738,0.00628406111661304,0.0119198106730194,0.0084359164534982,1,1,1
2011-06-02,1312.5,0.00038102496,-0.0115390607336156,-0.018211513449813352,-0.012580394598495893,1296.947763668736,1288.3227480446942,1295.597910987081,0.007929153007102554,0.0072728225969975,0.011478326494762,0,0,0
2011-06-03,1296.25,-0.012458235,-0.0109943406156109,-0.017036747728266518,-0.012631520985818356,1298.1489625958561,1290.3286685647943,1296.0253974006419,0.007961376872944462,0.0069294971847547,0.0107378968460165,1,0,0
2011-06-06,1285.0,-0.008716762,-0.008782969905834,-0.017083791036220024,-0.012112463291175617,1284.914925932839,1274.2932223849582,1280.6439242676397,0.007634225935975581,0.0055357176354755,0.0107675472344684,0,0,0
2011-06-07,1284.75,-0.00019457146,-0.011308284407255,-0.016991897940218603,-0.011006006391788632,1270.5507068724787,1263.349870450569,1270.9348244709295,0.00693684987337953,0.0071273692260557,0.0107096289861347,0,0,0
2011-06-08,1277.0,-0.00605057,-0.0079596163361263,-0.016488984615456396,-0.011058601695574434,1274.5644731308903,1263.7394741717674,1270.6207304456195,0.006969999565776502,0.0050167755321859,0.0103926534993859,0,0,0
2011-06-09,1287.5,0.008188777,-0.0145586472815434,-0.01580199110700513,-0.010129074898871972,1258.5432858144102,1256.9794561813364,1264.1304596555785,0.006384138753736716,0.0091760032619006,0.0099596562193127,0,0,0
2011-06-10,1269.25,-0.014276179,-0.0126896616373465,-0.016090793323597835,-0.01133634463727704,1271.2652850142863,1266.9488888485737,1272.9868746015693,0.007145054987461449,0.0079980216791379,0.0101416820648635,1,0,1
2011-06-13,1271.5,0.0017711311,-0.0107490993265072,-0.016919356103988925,-0.011734410898912312,1255.679770215739,1247.9557576793154,1254.443143738147,0.007395947618114605,0.0067749268579071,0.0106639074219677,0,0,0
2011-06-14,1284.5,0.010172232,-0.0138937028454258,-0.015836897935314124,-0.011477734224825707,1253.9563124341726,1251.521996626178,1256.98949409711,0.007234169813272917,0.0087569030394141,0.009981657244836,0,0,0
2011-06-15,1260.0,-0.019257817,-0.0165228568336839,-0.016792055233132923,-0.012069940743264923,1263.4507660132542,1263.1106928648883,1269.0893510145909,0.007607424885659078,0.0104140024323556,0.0105836724122427,1,1,1
2011-06-16,1263.5,0.0027739268,-0.0147784148639288,-0.018618727303473012,-0.013422178624354722,1241.5161149401702,1236.7574483916414,1243.20104641156,0.00845971143177768,0.009314518057529,0.0117349846565549,0,0,0
2011-06-17,1266.0,0.0019766758,-0.0164984953778372,-0.017240962006027195,-0.013943200583723519,1242.8251718410058,1241.9027580993236,1246.0050175239226,0.008788100402691953,0.0103986479290154,0.0108666087271838,0,0,0
2011-06-20,1273.75,0.006102982,-0.0154081725606935,-0.01612102811127291,-0.014482819856639448,1246.642766304795,1245.7544067628794,1247.7968844604088,0.009128210861631245,0.0097114408325622,0.0101607384033381,0,0,0
