https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1679407200,2023-03-21 14:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679403600,2023-03-21 13:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679400000,2023-03-21 12:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679396400,2023-03-21 11:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679392800,2023-03-21 10:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679389200,2023-03-21 09:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679385600,2023-03-21 08:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679382000,2023-03-21 07:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679378400,2023-03-21 06:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679374800,2023-03-21 05:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679371200,2023-03-21 04:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679367600,2023-03-21 03:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679364000,2023-03-21 02:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679360400,2023-03-21 01:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679356800,2023-03-21 00:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679353200,2023-03-20 23:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679349600,2023-03-20 22:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679346000,2023-03-20 21:00:00,DAI/USD,0.99472,0.99472,0.99472,0.99472,0.00000,0.0
1679342400,2023-03-20 20:00:00,DAI/USD,0.98385,0.99473,0.95109,0.99472,2106.26507,2095.1439904304
1679338800,2023-03-20 19:00:00,DAI/USD,1.00498,1.00499,1.00498,1.00499,99.10757,99.6021167743
1679335200,2023-03-20 18:00:00,DAI/USD,0.99000,0.99000,0.99000,0.99000,0.00000,0.0
1679331600,2023-03-20 17:00:00,DAI/USD,0.99000,0.99000,0.99000,0.99000,101.11122,100.1001078
1679328000,2023-03-20 16:00:00,DAI/USD,0.99999,0.99999,0.99999,0.99999,0.00000,0.0
1679324400,2023-03-20 15:00:00,DAI/USD,0.99999,0.99999,0.99999,0.99999,0.00000,0.0
1679320800,2023-03-20 14:00:00,DAI/USD,0.99999,0.99999,0.99999,0.99999,99.60258,99.60158397420001
1679317200,2023-03-20 13:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679313600,2023-03-20 12:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679310000,2023-03-20 11:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679306400,2023-03-20 10:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679302800,2023-03-20 09:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679299200,2023-03-20 08:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679295600,2023-03-20 07:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679292000,2023-03-20 06:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679288400,2023-03-20 05:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679284800,2023-03-20 04:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679281200,2023-03-20 03:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679277600,2023-03-20 02:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679274000,2023-03-20 01:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679270400,2023-03-20 00:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679266800,2023-03-19 23:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679263200,2023-03-19 22:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679259600,2023-03-19 21:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679256000,2023-03-19 20:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679252400,2023-03-19 19:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679248800,2023-03-19 18:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679245200,2023-03-19 17:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679241600,2023-03-19 16:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
1679238000,2023-03-19 15:00:00,DAI/USD,0.99621,0.99621,0.99621,0.99621,0.00000,0.0
