DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,gk_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2024-01-16,-0.00374415413999607,4798.5,4816.5,99.99967792367714,10.0,0.0,0.0061639805139452756,0.0061639805139452756,3.7994655776297064e-05,-0.009992518255889912,-0.013278073154384628,4768.610701644434,4752.968879498269,0
2024-01-17,-0.00569504399824261,4771.25,4798.5,99.99836121136006,10.0,0.0,0.007174713627314011,0.007174713627314011,5.147651563396537e-05,-0.011631032372590963,-0.015455333155208204,4743.0118091717195,4724.907745155774,0
2024-01-18,0.008348600538516493,4811.25,4771.25,99.99969677720452,10.0,0.0,0.005556118100147204,0.005556118100147204,3.087044834278338e-05,-0.009007103676268082,-0.011968652792014665,4728.467817596196,4714.484943616243,0
2024-01-19,0.012034336803298018,4869.5,4811.25,99.99998086313164,10.0,0.0,0.006023074855042434,0.006023074855042434,3.627743070944444e-05,-0.009764094047578513,-0.012974542725865932,4764.501104230818,4749.229445513369,0
2024-01-22,0.002358854485892792,4881.0,4869.5,99.99992290446764,10.0,0.0,0.003566142978369079,0.003566142978369079,1.2717375742171084e-05,-0.005781126130078972,-0.007681969019637964,4841.430022527862,4832.235965691357,0
2024-01-23,0.0028641590774629577,4895.0,4881.0,99.99999998443926,10.0,0.0,0.0036436689652839397,0.0036436689652839397,1.3276323528573336e-05,-0.0059068046324363375,-0.007848970800920774,4852.253869058926,4842.839131205587,0
2024-01-24,0.0006126825475032405,4898.0,4895.0,99.34510627994794,10.0,0.0,0.006364787608153533,0.006364787608153533,4.051052129690477e-05,-0.01031804955019699,-0.013710639623532994,4844.752819684345,4828.344408604735,0
2024-01-25,0.005141923000191895,4923.25,4898.0,99.99995839681588,10.0,0.0,0.0037279255043667432,0.0037279255043667432,1.3897428566108036e-05,-0.006043394130579338,-0.008030471129668676,4868.488719517085,4858.8242627520685,0
2024-01-26,-0.001422836766286295,4916.25,4923.25,99.99981700441144,10.0,0.0,0.005127834737467834,0.005127834737467834,2.629468909478181e-05,-0.008312807302263431,-0.011046070735241957,4882.4936061712715,4869.166686224071,0
2024-01-29,0.0077502097529347225,4954.5,4916.25,99.99993412869196,10.0,0.0,0.00522766385148065,0.00522766385148065,2.732846934407751e-05,-0.00847464172759712,-0.01126111656087374,4874.7625863903,4861.198090465114,0
2024-01-30,-0.0007066781375311137,4951.0,4954.5,99.99996951822536,10.0,0.0,0.0034662522662962923,0.0034662522662962923,1.2014904773604183e-05,-0.005619191847236425,-0.0074667905031995515,4926.737787641557,4917.643557357673,0
2024-01-31,-0.016392975150411715,4870.5,4951.0,99.9968394966438,10.0,0.0,0.007102100584601824,0.007102100584601824,5.043983271380157e-05,-0.011513318315371656,-0.015298914540497534,4894.324448908802,4875.831538181742,1
2024-02-01,0.011838080894483127,4928.5,4870.5,99.99991683571297,10.0,0.0,0.011191269666568722,0.011191269666568722,0.0001252445167498612,-0.01814232965155798,-0.024107554685962856,4782.9345062514085,4754.488154394568,0
2024-02-02,0.010445408456400074,4980.25,4928.5,99.99903506403086,10.0,0.0,0.009666682584559673,0.009666682584559673,9.344475219062928e-05,-0.015670799409824868,-0.020823381616410272,4851.868471979908,4826.933116723981,0
2024-02-05,-0.0036712053101481956,4962.0,4980.25,90.32614920028442,10.0,0.0,0.005875732875478196,0.005875732875478196,3.452423682397527e-05,-0.009525235826446297,-0.012657147565556836,4933.037157970875,4917.611489511455,0
2024-02-06,0.0025662328220299457,4974.75,4962.0,91.5205040824209,10.0,0.0,0.002791654901704969,0.002791654901704969,7.793337090213381e-06,-0.004525592270501315,-0.006013613755392884,4939.594747911731,4932.249990733657,0
2024-02-07,0.008108152528421897,5015.25,4974.75,98.92004020010654,10.0,0.0,0.004521771102849037,0.004521771102849037,2.04464139065606e-05,-0.007330308749670978,-0.009740525193935584,4938.416875748668,4926.528554654682,0
2024-02-08,0.0004983554374042853,5017.75,5015.25,99.99546467800327,10.0,0.0,0.0022792251523098546,0.0022792251523098546,5.1948672949218795e-06,-0.0036948849679543107,-0.004909768653423809,4996.753420574313,4990.686632330559,0
2024-02-09,0.005217792045208114,5044.0,5017.75,99.96626113500292,10.0,0.0,0.0034069044341479434,0.0034069044341479434,1.1606997823416917e-05,-0.005522982215351932,-0.007338947000930668,4990.113444342165,4981.05979709153,0
2024-02-12,-0.0005453508972319554,5041.25,5044.0,95.25498264610782,10.0,0.0,0.0048993077296881704,0.0048993077296881704,2.4003216230182255e-05,-0.007942338853825623,-0.010553791708696362,5004.09751211758,4991.046595726871,0
2024-02-13,-0.013982749665677474,4971.25,5041.25,72.2775971593107,10.0,0.0,0.012429435672411126,0.012429435672411126,0.00015449087113460623,-0.02014953853049772,-0.026774736836466587,4940.687683387839,4908.062840079964,0
2024-02-14,0.009360130404466815,5018.0,4971.25,97.5331072995476,10.0,0.0,0.005316171616540964,0.005316171616540964,2.8261680656515765e-05,-0.008618122949861256,-0.01145177462290738,4928.591239535901,4914.64509731066,0
2024-02-15,0.0056634857525477145,5046.5,5018.0,99.9987037064802,10.0,0.0,0.004468605665869469,0.004468605665869469,1.9968436597040726e-05,-0.007244121488306541,-0.009625999432554213,4981.780346548928,4969.928474278287,0
2024-02-16,-0.0053148020300533005,5019.75,5046.5,99.60589842444011,10.0,0.0,0.005398252936438472,0.005398252936438472,2.9141134765766584e-05,-0.008751186168618646,-0.011628589226351021,5002.529815251017,4988.156209909322,0
2024-02-20,-0.005643665872382186,4991.5,5019.75,79.30849205382151,10.0,0.0,0.00808856834559851,0.00808856834559851,6.542493788141823e-05,-0.013112495517230954,-0.01742390359023941,4954.35821232797,4933.043932629778,0
2024-02-21,0.0009511652490541422,4996.25,4991.5,99.96740318250625,10.0,0.0,0.008680597651539638,0.008680597651539638,7.535277558791549e-05,-0.014072242815953689,-0.018699217231488156,4921.750318241988,4899.03010888806,0
2024-02-22,0.020111634869323325,5097.75,4996.25,94.3968085716734,10.0,0.0,0.008126577425192617,0.008126577425192617,6.604126064765026e-05,-0.013174112587705854,-0.01750578044533971,4930.8605099677725,4909.547852986592,0
