var1,var2,n,mean_diff,std_diff,mae,rmse,corr_pearson,corr_spearman
ewma_vol,yz_vol_20,5072,0.00018129709987123422,0.0019121428746258027,0.001267225838654896,0.0019205306907114181,0.9577450485477353,0.9385702517651975
ewma_vol,yz_vol_10,5072,0.0003802936166273617,0.0026639228644445736,0.0017282290852998331,0.002690670755276805,0.9172472933363082,0.8976843491654599
ewma_vol,yz_vol_5,5072,0.0005977726169894941,0.00347410915741271,0.0022510608043906236,0.0035248243812829767,0.8623850802116162,0.8345978591684792
ewma_vol,garch_vol,5072,-0.00019329397954374747,0.002471364242478459,0.0014201336767329005,0.002478668915686701,0.9340265428870069,0.923616352201524
ewma_vol,sma_vol_20_predict,5072,0.00047234818710333135,0.001745749126833844,0.0011886181344233028,0.0018083561453164803,0.9677012732899885,0.9478263543056775
ewma_vol,sma_vol_10_predict,5072,0.0009466346273389122,0.0027618818888202512,0.0020003091157237032,0.0029193500550491066,0.9223464193267087,0.8820074370887105
ewma_vol,sma_vol_5_predict,5072,0.001802789279780018,0.004060035267679798,0.0031100959611935087,0.0044419236355993244,0.8336880041669318,0.7646134444059612
gk_vol_daily,gk_vol_20,5072,-0.000703882716531785,0.004902363893279812,0.0032212847540725453,0.004952159551084459,0.7374250864251798,0.6957851938643833
gk_vol_daily,gk_vol_10,5072,-0.0005486421360916689,0.004286904845878078,0.0027967674898059353,0.0043214509156642164,0.8048084424566675,0.7543672908553023
gk_vol_daily,gk_vol_5,5072,-0.0004098870555986195,0.0036095858564637487,0.0023639136777438225,0.0036324301263318997,0.8648878344557227,0.8206672991166962
gk_vol_daily,rs_vol_daily,5072,0.00011534854369670847,0.0014625987944896712,0.0007977915617224596,0.0014669965080237302,0.9793247494743232,0.9736108128455409
gk_vol_daily,rs_vol_20,5072,-0.0006941466061952676,0.0049464271327973605,0.0032499355167448624,0.004994412570839583,0.7310916131730767,0.6895638134127491
gk_vol_daily,rs_vol_10,5072,-0.0005273294026685989,0.0043786732006136,0.0028352812499569165,0.004409883805118725,0.7953590932164024,0.7472884760308428
gk_vol_daily,rs_vol_5,5072,-0.00036887873242489867,0.0037211316209857796,0.0024180840130496,0.003739005483891034,0.8560060905975806,0.8135296924617036
gk_vol_daily,yz_vol_20,5072,-0.0008428377618890505,0.004940230286051605,0.0032791075529424404,0.005011131497791735,0.7346633745376845,0.6918523294742089
gk_vol_daily,yz_vol_10,5072,-0.000643841245132923,0.0043472503242894455,0.002845591156194004,0.004394245199028189,0.8000202624143036,0.7495740736261558
gk_vol_daily,yz_vol_5,5072,-0.0004263622447707907,0.0036725084987861154,0.0024038653764079545,0.003696815422192384,0.8603387544511903,0.8162963488894619
gk_vol_daily,garch_vol,5072,-0.001217428841304032,0.004846510253158729,0.003370183920509058,0.004996615211554394,0.7624200619977747,0.6658920680928455
gk_vol_daily,sma_vol_20_predict,5072,-0.0005517866746569534,0.005463957684673248,0.003511332377754992,0.005491212608237822,0.6986415484502138,0.6408149683222115
gk_vol_daily,sma_vol_10_predict,5072,-7.750023442137253e-05,0.005202466444611648,0.003374324778061243,0.005202530836504836,0.7350638884883894,0.6499648786159476
gk_vol_daily,sma_vol_5_predict,5072,0.0007786544180197333,0.0054669393764338985,0.0035553538538306744,0.005521579141601373,0.7130348688308933,0.6232359546128695
gk_vol_20,gk_vol_10,5072,0.00015524058044011612,0.002172331278666712,0.0013459564404871805,0.002177657552350667,0.9403581619781319,0.9259327407964948
gk_vol_20,gk_vol_5,5072,0.0002939956609331655,0.0032668731405421196,0.002051429313466556,0.0032797544684594507,0.8702696539514689,0.8488841824784334
gk_vol_20,rs_vol_daily,5072,0.0008192312602284933,0.005215794583644118,0.003389012475946943,0.005279231888321179,0.7060655731845168,0.6722664537743913
gk_vol_20,rs_vol_20,5072,9.736110336517446e-06,0.00041286835776713107,0.0002674619282377473,0.0004129424470677203,0.9977690483964956,0.9962702366840859
gk_vol_20,rs_vol_10,5072,0.00017655331386318618,0.002262030769265523,0.0014029891575833633,0.0022686880447175995,0.934479940695393,0.9200297157702537
gk_vol_20,rs_vol_5,5072,0.0003350039841068863,0.0033987872629575133,0.0021256041687705836,0.0034149238606473037,0.858731625647516,0.8397061892565758
gk_vol_20,yz_vol_20,5072,-0.00013895504535726562,0.0003171241111261082,0.00021835115127069588,0.0003462027996288248,0.9987437764801095,0.9970948902065129
gk_vol_20,yz_vol_10,5072,6.0041471398861965e-05,0.002242263385943617,0.0013945324435040713,0.0022428461372924874,0.9374492148169331,0.9211134886751597
gk_vol_20,yz_vol_5,5072,0.0002775204717609943,0.0033445381743264285,0.0021029063587583623,0.003355703768634842,0.8649833736239695,0.8414897668051906
gk_vol_20,garch_vol,5072,-0.0005135461247722473,0.0029637204692260434,0.0017729115470386738,0.0030075965241286094,0.9031657575766762,0.8803773171933738
gk_vol_20,sma_vol_20_predict,5072,0.00015209604187483162,0.0017725538496973937,0.0012532434681199697,0.001778893163446221,0.9703463932599202,0.9377133793687531
gk_vol_20,sma_vol_10_predict,5072,0.0006263824821104124,0.0030333214182514234,0.002179547322208166,0.003097027567745487,0.9068452093807502,0.8424715418989797
gk_vol_20,sma_vol_5_predict,5072,0.0014825371345515183,0.004407918927228198,0.003263228734858853,0.004650143528732518,0.7972441421037112,0.7122803312504263
gk_vol_10,gk_vol_5,5072,0.00013875508049304933,0.002073061470888895,0.0012603983359348583,0.002077495973285254,0.9493036065246461,0.9332811508741338
gk_vol_10,rs_vol_daily,5072,0.0006639906797883773,0.004663680577935641,0.002991368809169069,0.004710256035833403,0.7714879950733914,0.7254111148523502
gk_vol_10,rs_vol_20,5072,-0.0001455044701035987,0.0022482596383294885,0.00136877627667189,0.002252741966733736,0.9358327337683237,0.9200392861098766
gk_vol_10,rs_vol_10,5072,2.1312733423070054e-05,0.0005277566895348727,0.00033687289487103756,0.0005281348703703565,0.9965751173873161,0.9948079506851432
gk_vol_10,rs_vol_5,5072,0.00017976340366677022,0.00226596514928057,0.0013815612026075196,0.0022728617637603056,0.9390532623778435,0.9219501356559683
gk_vol_10,yz_vol_20,5072,-0.00029419562579738177,0.002214802092906053,0.0013713016161930355,0.002234039443289576,0.9383083526291802,0.9219813052937984
gk_vol_10,yz_vol_10,5072,-9.519910904125417e-05,0.0003980566737907998,0.00025269972451812085,0.0004092441153444569,0.9981148805070533,0.9958775725286737
gk_vol_10,yz_vol_5,5072,0.00012227989132087817,0.002167778793860002,0.001335924019971322,0.0021710114600600994,0.944976764541927,0.9248746391366228
gk_vol_10,garch_vol,5072,-0.0006687867052123633,0.002624748344279665,0.0017871554529127686,0.00270836135451518,0.9248120090204314,0.879779699791208
gk_vol_10,sma_vol_20_predict,5072,-3.14453856528449e-06,0.0028973743277498193,0.001867247338490211,0.0028970903957905862,0.9082060533605385,0.8723057333080992
gk_vol_10,sma_vol_10_predict,5072,0.0004711419016702964,0.0023847516138174553,0.0017153130481397164,0.0024306159073851333,0.944162786378942,0.8969087040153949
gk_vol_10,sma_vol_5_predict,5072,0.001327296554111402,0.00368248184273387,0.0027795466779024533,0.003914040754827203,0.862823141695838,0.7867732372424001
gk_vol_5,rs_vol_daily,5072,0.0005252355992953281,0.004029786297163842,0.0025658621933421217,0.004063477366120929,0.833450828317268,0.7902165723968841
gk_vol_5,rs_vol_20,5072,-0.000284259550596648,0.00332173671101749,0.002081388574350675,0.0033335510809195585,0.8651026637149254,0.8426417481993232
gk_vol_5,rs_vol_10,5072,-0.00011744234706997927,0.002182150574077883,0.001311839565929701,0.00218509381854889,0.9436099749234543,0.9273308092279635
gk_vol_5,rs_vol_5,5072,4.100832317372089e-05,0.0007123669086275994,0.00044282674655232734,0.0007134761681455126,0.9941311919811834,0.9920771451395627
gk_vol_5,yz_vol_20,5072,-0.0004329507062904311,0.0033071995658593874,0.002089279045047818,0.003335095024394232,0.8677843754667346,0.8444465544093139
gk_vol_5,yz_vol_10,5072,-0.0002339541895343035,0.0021366530154332047,0.0012960847899742163,0.002149213943589354,0.9463704616276843,0.9288246586778658
gk_vol_5,yz_vol_5,5072,-1.6475189172171147e-05,0.0005181915058231402,0.0003248716910150491,0.0005184022824455064,0.9969300380861997,0.9937572599225116
gk_vol_5,garch_vol,5072,-0.0008075417857054127,0.003029576272678222,0.0021209268172176204,0.0031350672272718,0.9000597059018858,0.8358738532552079
gk_vol_5,sma_vol_20_predict,5072,-0.00014189961905833383,0.0039006576079480926,0.002457881880533664,0.0039028535006974925,0.8342263378868181,0.7958440097079452
gk_vol_5,sma_vol_10_predict,5072,0.000332386821177247,0.003329712498332763,0.002198646930815817,0.003345934906812566,0.8855765203990609,0.8313414828436069
gk_vol_5,sma_vol_5_predict,5072,0.001188541473618353,0.003602889909783916,0.0025949981098865684,0.0037935322889681724,0.8697193277222762,0.8070912857239431
rs_vol_daily,rs_vol_20,5072,-0.000809495149891976,0.005230497457147048,0.003404135129413386,0.0052922577506240185,0.7027295852597971,0.6687961703611497
rs_vol_daily,rs_vol_10,5072,-0.0006426779463653073,0.004700883579049642,0.0030050756246499774,0.004744152658263573,0.766833543059911,0.7238551986322298
rs_vol_daily,rs_vol_5,5072,-0.0004842272761216071,0.004026458969132851,0.002561487266586338,0.004055077242112711,0.8335037705164494,0.7932308758475702
rs_vol_daily,yz_vol_20,5072,-0.0009581863055857589,0.005246561245504855,0.003447202688694351,0.005332832152687848,0.704174477273889,0.6687745129382582
rs_vol_daily,yz_vol_10,5072,-0.0007591897888296315,0.004704590500015462,0.0030374906163465735,0.0047649949750867985,0.7684718128592617,0.7222793606364345
rs_vol_daily,yz_vol_5,5072,-0.0005417107884674991,0.004043639478846176,0.002582000043544365,0.004079368459900795,0.8326878654452077,0.7898838160291545
rs_vol_daily,garch_vol,5072,-0.0013327773850007408,0.00515722459653354,0.003528984692875008,0.005326163461239402,0.7340946138071408,0.6454781502566916
rs_vol_daily,sma_vol_20_predict,5072,-0.0006671352183536619,0.00575916131906312,0.003661085707324834,0.005797108682644409,0.6689829138317687,0.6195900936490267
