t,sigma_next,omega,alpha,beta,shape,_fallback,vxreg1_p,vxreg2_p,_conv,_llh,ab
2005-12-21,0.005809280153111758,0.07125551378086668,0.09064300793579547,0.7356990974870826,99.99987012831292,0,,,0,-241.43326288743,0.8263421054228781
2005-12-22,0.005661980913428748,0.06936850575644352,0.08967975133222846,0.7404609005686649,99.99997123157134,0,,,0,-241.4394003303613,0.8301406519008934
2005-12-23,0.0056803339153220144,0.06791849619677542,0.08905169453803399,0.7442903034017833,99.99988392889823,0,,,0,-241.5637613167887,0.8333419979398172
2005-12-27,0.0055333437346185175,0.06642873929687958,0.0897877305802826,0.746565999691396,99.99995151352614,0,,,0,-241.04322541010345,0.8363537302716786
2005-12-28,0.00620035452388213,0.06702587614037697,0.08548990579349336,0.7509740985603052,99.99998919555703,0,,,0,-242.48649555369562,0.8364640043537985
2005-12-29,0.005946159247093496,0.0633204130337717,0.08254827005851971,0.7616703040616947,94.25013250740832,0,,,0,-242.40317641297275,0.8442185741202144
2005-12-30,0.005869272722716122,0.06381313989332527,0.08556799608595998,0.75653940367931,99.99941413107052,0,,,0,-242.47897194897016,0.84210739976527
2006-01-03,0.0058112735552188575,0.0632770397434648,0.08553095838059635,0.7569627787276216,99.99884001442403,0,,,0,-242.1621786005063,0.842493737108218
2006-01-04,0.00742982573780755,0.07286688806511289,0.08798248196204489,0.7378186528663954,99.99986195318426,0,,,0,-243.57475670035373,0.8258011348284402
2006-01-05,0.007027835509481614,0.07038564575306881,0.0847488465003823,0.7465431773180448,99.99999981666038,0,,,0,-243.374329131738,0.831292023818427
2006-01-06,0.0066102311115439774,0.06813194705781467,0.08105293511318065,0.7546370300147027,99.99979500298689,0,,,0,-243.26469263953794,0.8356899651278834
2006-01-09,0.006727001550630941,0.06763080622499064,0.08114965428912126,0.7560773011847128,99.99993189654776,0,,,0,-244.0429273344252,0.8372269554738341
2006-01-10,0.006427523135826704,0.06716444475852296,0.07984733585556204,0.7574134852686367,99.99999527228758,0,,,0,-243.88609350416905,0.8372608211241988
