DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2013-02-05,0.008334771,0.0059049916,0.0068290886,4.8177853,-0.0093688605700734,-0.015152079497534084,0,0
2013-02-06,0.000497884,0.006024869,0.005283001,4.9285007,-0.009559058423008537,-0.01545968285723601,0,0
2013-02-07,-0.000996016,0.0060633016,0.007720034,4.950114,-0.00962003538684494,-0.015558299737768818,0,0
2013-02-08,0.0048049134,0.0062598195,0.0042698076,5.0401897,-0.009931830651103512,-0.01606256027144474,0,0
2013-02-11,0.00033052388,0.006133047,0.0033812537,5.0525293,-0.009730692994452846,-0.015737264175860438,0,0
2013-02-12,0.0021457465,0.0059060925,0.004657081,5.008003,-0.00937060695726703,-0.015154903896231602,0,0
2013-02-13,0.00065930444,0.0057654083,0.0041924757,5.1011715,-0.009147397862053153,-0.01479391208405152,0,0
2013-02-14,0.0008235198,0.0056596003,0.0049308143,5.1235003,-0.008979522094962385,-0.014522409808012322,0,0
2013-02-15,-0.0009883051,0.005642955,0.004843189,4.410743,-0.008953113644057691,-0.014479699924081206,0,0
2013-02-19,0.0072249905,0.005647671,0.0040973644,4.3529387,-0.008960595058211538,-0.014491799472491091,0,0
2013-02-20,-0.013838771,0.0055303345,0.0063619916,5.1822963,-0.008774429278506872,-0.014190717107916697,1,0
2013-02-21,-0.003989367,0.0057873344,0.0063575315,5.2545943,-0.00918218535203194,-0.014850173228054663,0,0
2013-02-22,0.008953799,0.006110324,0.0034139876,5.2767925,-0.009694640504838465,-0.01567895717207536,0,0
2013-02-25,-0.018156575,0.0060142344,0.01636212,5.447181,-0.009542184522289993,-0.01543239301945813,1,1
2013-02-26,0.003523789,0.0071596284,0.006489979,5.4080663,-0.01135946689220568,-0.018371449133323843,0,0
2013-02-27,0.0154578,0.0074796462,0.010127664,5.4779453,-0.011867207704453238,-0.01919260866428026,0,0
2013-02-28,-0.0016507101,0.007472812,0.0072393934,5.4875793,-0.011856364721167615,-0.019175072514232408,0,0
2013-03-01,0.0021453924,0.007185302,0.008987496,5.404669,-0.011400201147281115,-0.01843732786708869,0,0
2013-03-04,0.006081044,0.0070733503,0.008429456,5.426357,-0.011222578187003937,-0.018150061641427906,0,0
2013-03-05,0.007346372,0.0068607917,0.0073150885,5.54078,-0.010885332722637591,-0.017604640984556965,0,0
2013-03-06,0.0013003903,0.0065458044,0.0035564788,5.432872,-0.010385573714242365,-0.01679639027272532,0,0
2013-03-07,0.0024336833,0.006099412,0.003464569,5.3307037,-0.009677327745161937,-0.015650957576075566,0,0
2013-03-08,0.00436576,0.0057305014,0.0054150685,5.190364,-0.009092013861555516,-0.014704340596445842,0,0
2013-03-11,0.0041861273,0.005565774,0.0040494185,5.240136,-0.008830657516958737,-0.014281653965462679,0,0
2013-03-12,-0.0059624705,0.0053911135,0.0040297336,5.3571453,-0.008553541159019245,-0.013833478965508187,0,0
2013-03-13,0.0020989755,0.0053571356,0.0040141344,5.2310095,-0.008499632086565968,-0.013746292850895748,0,0
2013-03-14,0.0038634948,0.005432481,0.0031137678,5.3029814,-0.008619174552129438,-0.013939626600288366,0,0
2013-03-15,-0.0016079759,0.005438326,0.004418789,5.2943087,-0.00862844850153229,-0.013954625181765495,0,0
2013-03-18,-0.0043544946,0.0055312077,0.010495917,5.356105,-0.008775814625031974,-0.014192957602427525,0,0
2013-03-19,-0.0029135663,0.0061051804,0.008715876,5.413857,-0.009686479537947617,-0.01566575859598577,0,0
2013-03-20,0.0043671723,0.0066066757,0.00788084,5.4725285,-0.010482152545505363,-0.0169525853743741,0,0
2013-03-21,-0.0064767064,0.006762283,0.0049751108,5.572775,-0.010729039212582288,-0.017351870471900267,0,0
2013-03-22,0.008411567,0.0066073323,0.0067958445,5.61013,-0.010483194043774725,-0.01695426976965951,0,0
2013-03-25,-0.0032268502,0.0064225756,0.009735815,5.7420077,-0.010190058881436885,-0.016480187862895613,0,0
2013-03-26,0.0066038733,0.0064791865,0.0041091572,5.569497,-0.010279878379883091,-0.01662545122450789,0,0
2013-03-27,-0.00032113038,0.0061502196,0.0066887005,5.610232,-0.009757939349264949,-0.015781329185798755,0,0
2013-03-28,0.003846775,0.0060431934,0.006256944,5.608929,-0.009588131697895217,-0.015506702510164115,0,0
2013-04-01,-0.004328664,0.0059442464,0.0049367533,5.707907,-0.009431142347553956,-0.01525280662828545,0,0
2013-04-02,0.0054478585,0.0058724303,0.005290564,5.7790117,-0.009317198274512236,-0.015068527052334047,0,0
2013-04-03,-0.010279563,0.005773398,0.00822954,5.789457,-0.009160074099460172,-0.014814413121022258,1,0
2013-04-04,0.0038672301,0.006043016,0.004656652,5.9482555,-0.00958785028524381,-0.01550624738685068,0,0
2013-04-05,-0.0054830005,0.00603381,0.009443457,5.8106427,-0.00957324306842166,-0.015482623413703517,0,0
2013-04-08,0.008533986,0.0063485918,0.007111526,5.9379263,-0.010072676325837762,-0.01629034729469003,0,0
2013-04-09,0.002562051,0.006343631,0.0060289023,6.1310267,-0.010079840949418911,-0.01624790917214299,0,0
2013-04-10,0.012396853,0.0061813584,0.00743589,5.9656887,-0.009807344009568026,-0.01586123040055822,0,0
2013-04-11,0.0031540792,0.0060675126,0.005198173,5.8417497,-0.009626715996508444,-0.015569104160351083,0,0
2013-04-12,-0.0036280504,0.0058885445,0.0061187926,5.853359,-0.009342765202054197,-0.015109875956581902,0,0
2013-04-15,-0.024637304,0.0058632176,0.0128219975,5.688344,-0.009302582009051777,-0.01504488844499674,1,1
2013-04-16,0.016226558,0.006764149,0.007592389,5.113609,-0.010731999022173148,-0.017356657315495905,0,0
2013-04-17,-0.014608174,0.0069955136,0.01092939,5.149664,-0.011099082371363282,-0.017950334214361995,1,0
2013-04-18,-0.007792247,0.0075432146,0.009531245,4.9961433,-0.011968064731908711,-0.01935572281102845,0,0
2013-04-19,0.0087620225,0.007966847,0.0057052486,5.091889,-0.012640200300089582,-0.020442754845076218,0,0
2013-04-22,0.0054777004,0.007610289,0.0077544716,5.191216,-0.012074484862196531,-0.019527834057876302,0,0
2013-04-23,0.011184012,0.0072137117,0.011033796,5.3105364,-0.011445276034153356,-0.01851022662186493,0,0
2013-04-24,0.00031771246,0.0069992263,0.003698928,5.2798567,-0.011104973034902413,-0.017959861072144815,0,0
2013-04-25,0.004911679,0.006457652,0.007035025,5.256683,-0.010245711626492298,-0.016570193985948528,0,0
2013-04-26,-0.003324629,0.006240339,0.0040272926,5.116751,-0.009900922312367775,-0.01601257280475572,0,0
2013-04-29,0.007425581,0.006016955,0.0067875744,5.0769124,-0.009546500722763364,-0.01543937352815614,0,0
2013-04-30,0.002515329,0.006000863,0.005601048,5.2336183,-0.009520969989774641,-0.015398083160668855,0,0
2013-05-01,-0.009465286,0.0059629236,0.0058114678,5.2771235,-0.009460775733151962,-0.015300732137583381,1,0
2013-05-02,0.009465286,0.0060842126,0.0046652355,5.3741508,-0.009653212219204734,-0.015611955995926581,0,0
2013-05-03,0.010153958,0.006024393,0.008918402,5.5525484,-0.009558301956845908,-0.015458459438940092,0,0
2013-05-06,0.0031036648,0.0061190864,0.0028675753,5.559502,-0.00970854283273635,-0.01570144114181042,0,0
2013-05-07,0.0043290113,0.0058272975,0.0045248014,5.3703847,-0.009245590970390469,-0.014952717925221739,0,0
2013-05-08,0.0050781057,0.005631448,0.004503832,5.4750032,-0.008934855301677877,-0.014450171055211512,0,0
2013-05-09,-0.0026127733,0.0054967087,0.0051304437,5.514216,-0.008721078507037258,-0.014104433922836055,0,0
2013-05-10,0.003073143,0.005524709,0.00448096,5.5035434,-0.008765503701678917,-0.014176281942760058,0,0
2013-05-13,0.0007668124,0.0055200965,0.0046956744,5.5237856,-0.008758186067878463,-0.014164447273191754,0,0
2013-05-14,0.0105224,0.0055114697,0.0070378873,5.4947515,-0.008744498192708504,-0.014142310133763077,0,0
2013-05-15,0.0037853024,0.005592685,0.0068219365,5.413336,-0.008873355326547214,-0.014350708318488463,0,0
2013-05-16,-0.0037853024,0.005751922,0.00472509,5.461644,-0.00912599964218013,-0.014759305151202351,0,0
2013-05-17,0.009060768,0.0058500282,0.0054869144,5.509728,-0.009281655223234651,-0.015011043953454,0,0
2013-05-20,0.0009015778,0.0058771665,0.0046107317,5.4100795,-0.009324713168627827,-0.01508068074724746,0,0
2013-05-21,0.0006006006,0.005822727,0.0055718445,5.2997,-0.009238339391649671,-0.014940990085241477,0,0
2013-05-22,-0.0060223006,0.005849167,0.0162108,5.1330786,-0.009280288878849999,-0.015008834190742469,0,0
2013-05-23,-0.0033277902,0.006743982,0.010919933,5.2856503,-0.010700002132248844,-0.01730490935573273,0,0
2013-05-24,0.0003029844,0.0073667024,0.008915758,5.393123,-0.011688011185974132,-0.01890279755295368,0,0
2013-05-28,0.002420576,0.0075601223,0.012032881,5.375317,-0.011994891229903278,-0.019399108794544154,0,0
2013-05-29,-0.004543397,0.007724899,0.007571063,5.356164,-0.012256325392789515,-0.019821921279562543,0,0
2013-05-30,0.003938802,0.007473764,0.008038035,5.2028875,-0.01185787493890138,-0.019177514960567205,0,0
2013-05-31,-0.014927924,0.007173303,0.009954478,5.0991116,-0.011381163717142899,-0.01840653899444772,1,0
2013-06-03,0.0044407086,0.0073187975,0.0074892277,5.1983666,-0.01161200533877038,-0.018779874746013066,0,0
2013-06-04,-0.0030604461,0.0072428756,0.010356104,5.332749,-0.011491547151010043,-0.018585060016578017,0,0
2013-06-05,-0.014355421,0.0074315974,0.008363171,5.4343905,-0.011790972926700269,-0.019069315612329038,1,0
2013-06-06,0.00913107,0.0076623717,0.010882394,5.3432956,-0.012157119741825427,-0.019661477872515373,0,0
2013-06-07,0.0096589485,0.007884884,0.009353802,5.442617,-0.012510157794632396,-0.020232439581442153,0,0
2013-06-10,0.0021338218,0.0077216784,0.0056587877,5.6636353,-0.012251215626736447,-0.01981365735238903,0,0
2013-06-11,-0.009177183,0.007214043,0.0070891804,5.502904,-0.011445800855175277,-0.0185110754048932,0,0
2013-06-12,-0.010503649,0.007081118,0.010563403,5.4186,-0.011234902432380737,-0.018169993408402096,0,0
2013-06-13,0.01647839,0.0075726975,0.015417196,5.362208,-0.0120148425725107,-0.019431375720389527,0,0
2013-06-14,-0.0076663974,0.008316307,0.0055702077,5.2459154,-0.013194653802743303,-0.02133946191922468,0,0
2013-06-17,0.00949762,0.008215167,0.007939659,5.112138,-0.013034184346108415,-0.021079937727817178,0,0
2013-06-18,0.0033485573,0.007980254,0.0058946447,4.7846065,-0.012661470934162448,-0.020477155435844375,0,0
2013-06-19,-0.01315406,0.007529249,0.008938558,5.185115,-0.011945907331281567,-0.01931988806962632,1,0
2013-06-20,-0.024784995,0.0075547383,0.014495836,4.8098893,-0.011986348410475791,-0.019385292655630545,1,1
2013-06-21,0.0,0.008600492,0.011942179,4.533746,-0.01364554202049568,-0.022068674833515274,0,0
2013-06-24,-0.0112690665,0.009366378,0.013164211,4.573482,-0.014860696327099241,-0.024033920715628324,0,0
2013-06-25,0.009689537,0.010164655,0.0118652,4.5578074,-0.016127243279842357,-0.02608228294407516,0,0
2013-06-26,0.008813403,0.010182263,0.0110809645,4.4258018,-0.016155180045757434,-0.026127464542721357,0,0
2013-06-27,0.0068707326,0.009699429,0.007716076,4.3986325,-0.01538911508761043,-0.02488852229789856,0,0
2013-06-28,-0.00452313,0.008790325,0.008502215,4.3373766,-0.013946731375792321,-0.02255578263292508,0,0
2013-07-01,0.004678736,0.008204568,0.011724021,4.4568844,-0.013017368356675049,-0.02105274154885621,0,0
2013-07-02,0.00031113878,0.008115354,0.008016207,4.6038456,-0.012875821412471854,-0.020823820375874873,0,0
2013-07-03,0.001088224,0.007865903,0.008342925,4.725917,-0.012480042116612524,-0.02018373406980962,0,0
2013-07-05,0.011278605,0.0076903515,0.0068828748,4.5944967,-0.012201512361369172,-0.01973327320935486,0,0
2013-07-08,0.0050570946,0.007270621,0.005203424,4.6423373,-0.01153556787151929,-0.018656253888202648,0,0
2013-07-09,0.0060957214,0.006753831,0.0046434933,4.5696535,-0.010715629130608414,-0.017330182602108966,0,0
2013-07-10,0.0018214941,0.006300233,0.007478315,4.733666,-0.009995950207024618,-0.016166259606214064,0,0
2013-07-11,0.012957843,0.0062808115,0.0041692643,4.5253134,-0.009965135974127293,-0.01611642433510253,0,0
2013-07-12,0.0001496894,0.006070916,0.0033547198,4.6788244,-0.00963211622385123,-0.015577837845028173,0,0
2013-07-15,0.004331274,0.0059131146,0.003031943,4.649965,-0.009381748545616849,-0.015172922974554158,0,0
2013-07-16,-0.0037327404,0.0057526906,0.004936569,4.489355,-0.009127219398624178,-0.014761277840033572,0,0
2013-07-17,0.0025397788,0.005843823,0.006076234,4.5802593,-0.009271810304754505,-0.014995121954578874,0,0
2013-07-18,0.00297974,0.006004946,0.0069114687,4.4416647,-0.009527447909940024,-0.015408559777391927,0,0
2013-07-19,0.005341259,0.006180567,0.0053643775,4.3776116,-0.009806088963434574,-0.015859200638385442,0,0
2013-07-22,0.00044381982,0.006133367,0.0036601804,4.473426,-0.00973120062306198,-0.015738085153927436,0,0
2013-07-23,-0.0011839576,0.005933768,0.0038859188,4.2710576,-0.009414517284388907,-0.015225919230736492,0,0
